index;title;year;rating;votes;runtime;genre;Awards
336;Thank You for Smoking;2005;7,7;166818;92;Comedy;0
337;The A-Team;2010;6,8;167381;117;Action;1
338;Role Models;2008;6,9;162734;99;Comedy;0
339;Resident Evil: Extinction;2007;6,3;121351;94;Action;1
340;Real Steel;2011;7,1;193734;127;Action;0
341;V for Vendetta;2005;8,2;557149;132;Action;0
342;The Descent;2005;7,3;118003;99;Adventure;1
343;Toy Story 3;2010;8,5;354090;103;Animation;1
344;Ice Age: The Meltdown;2006;6,9;131093;91;Animation;1
345;Terminator Salvation;2009;6,7;219583;115;Action;1
346;The Bourne Ultimatum;2007;8,1;349169;115;Action;1
347;Kung Fu Panda;2008;7,6;209068;90;Animation;0
348;Beowulf;2007;6,3;122239;115;Animation;0
349;Vantage Point;2008;6,6;110927;90;Action;0
350;Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan;2006;7,3;242870;84;Comedy;1
351;Scott Pilgrim vs. the World;2010;7,5;200557;112;Action;1
352;Knowing;2009;6,2;152925;121;Action;1
353;Hancock;2008;6,5;231529;92;Action;0
354;Little Miss Sunshine;2006;7,9;278063;101;Adventure;1
355;Pirates of the Caribbean: At World's End;2007;7,1;343573;169;Action;1
356;Blood Diamond;2006;8;290678;143;Adventure;1
357;Death Race;2008;6,4;132344;105;Action;0
358;Deja Vu;2006;7;189848;126;Action;1
359;Life of Pi;2012;8,1;297300;127;Adventure;0
360;The Holiday;2006;6,9;137228;138;Comedy;0
361;Captain America: The First Avenger;2011;6,8;277792;124;Action;0
362;The Devil Wears Prada;2006;6,8;201103;109;Comedy;0
363;X-Men Origins: Wolverine;2009;6,8;227155;107;Action;1
364;Enchanted;2007;7,2;110303;107;Comedy;0
365;Grindhouse;2007;7,7;130413;191;Action;0
366;Rambo;2008;7,1;146551;92;Action;1
367;The Simpsons Movie;2007;7,4;205074;87;Animation;0
368;The Fast and the Furious: Tokyo Drift;2006;5,9;113877;104;Action;1
369;National Treasure: Book of Secrets;2007;6,5;145649;124;Action;1
370;Shoot 'Em Up;2007;6,8;114583;86;Action;1
371;Juno;2007;7,6;323349;96;Comedy;1
372;The Dark Knight;2008;9;1151458;152;Action;1
373;Apocalypto;2006;7,8;193520;139;Action;0
374;Prince of Persia: The Sands of Time;2010;6,6;167050;116;Action;1
375;Smokin' Aces;2006;6,7;106009;108;Action;1
376;Unstoppable;2010;6,8;113239;98;Action;1
377;Night at the Museum;2006;6,3;160881;108;Action;0
378;Crank;2006;7;154657;88;Action;0
379;Fantastic 4: Rise of the Silver Surfer;2007;5,6;161485;92;Action;0
380;Stardust;2007;7,8;173241;127;Adventure;0
381;Jumper;2008;6;188779;88;Action;0
382;Wanted;2008;6,7;237319;110;Action;0
383;The Chronicles of Narnia: Prince Caspian;2008;6,6;110046;150;Action;1
384;Avatar;2009;8;657389;162;Action;0
385;Love & Other Drugs;2010;6,6;104048;112;Comedy;0
386;Into the Wild;2007;8,2;290910;148;Adventure;0
387;Body of Lies;2008;7,1;137524;128;Action;0
388;Man of Steel;2013;7,4;359556;143;Action;0
389;In Bruges;2008;8;242386;107;Comedy;1
390;Jack Reacher;2012;7;152015;130;Action;0
391;Mamma Mia!;2008;6,4;105742;108;Comedy;1
392;Star Trek;2009;8,1;401643;127;Action;1
393;Forgetting Sarah Marshall;2008;7,3;175577;111;Comedy;0
394;The Incredible Hulk;2008;6,9;235963;112;Action;0
395;Clash of the Titans;2010;5,8;182029;106;Action;1
396;Thor;2011;7;338213;115;Action;1
397;Percy Jackson & the Olympians: The Lightning Thief;2010;5,9;102980;118;Adventure;0
398;World War Z;2013;7,1;283626;116;Action;1
399;Shooter;2007;7,2;193652;124;Action;1
400;The Bucket List;2007;7,4;144493;97;Adventure;0
401;Superbad;2007;7,7;326763;113;Comedy;1
402;Quantum of Solace;2008;6,7;239525;106;Action;1
403;Definitely, Maybe;2008;7,2;105226;112;Comedy;1
404;Step Brothers;2008;6,8;159452;98;Comedy;1
405;Cloudy with a Chance of Meatballs;2009;7;102371;90;Animation;0
406;The Avengers;2012;8,2;630936;143;Action;0
407;Burn After Reading;2008;7;196285;96;Comedy;0
408;How to Train Your Dragon;2010;8,2;284039;98;Animation;0
409;The Road;2009;7,3;137408;111;Adventure;1
